|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|     150 |         150 |       00:01:16 |       99.01% |       93.75% |       0.0575 |       0.2246 |          0.0020 |
|     151 |         151 |       00:01:16 |       98.15% |              |       0.0656 |              |          0.0020 |
|     152 |         152 |       00:01:17 |       98.72% |              |       0.0561 |              |          0.0020 |
|     153 |         153 |       00:01:17 |       98.15% |              |       0.0654 |              |          0.0020 |
|     154 |         154 |       00:01:18 |       98.58% |              |       0.0572 |              |          0.0020 |
|     155 |         155 |       00:01:18 |       99.01% |              |       0.0548 |              |          0.0020 |
|     156 |         156 |       00:01:19 |       98.86% |              |       0.0532 |              |          0.0020 |
|     157 |         157 |       00:01:19 |       98.72% |              |       0.0530 |              |          0.0020 |
|     158 |         158 |       00:01:20 |       98.72% |              |       0.0541 |              |          0.0020 |
|     159 |         159 |       00:01:20 |       99.43% |              |       0.0464 |              |          0.0020 |
|     160 |         160 |       00:01:21 |       99.15% |       96.02% |       0.0581 |       0.2108 |          0.0020 |
|     161 |         161 |       00:01:21 |       98.72% |              |       0.0494 |              |          0.0020 |
|     162 |         162 |       00:01:22 |       99.29% |              |       0.0497 |              |          0.0020 |
|     163 |         163 |       00:01:22 |       99.15% |              |       0.0575 |              |          0.0020 |
|     164 |         164 |       00:01:22 |       98.86% |              |       0.0461 |              |          0.0020 |
|     165 |         165 |       00:01:23 |       99.01% |              |       0.0523 |              |          0.0020 |
|     166 |         166 |       00:01:23 |       99.29% |              |       0.0546 |              |          0.0020 |
|     167 |         167 |       00:01:24 |       99.29% |              |       0.0491 |              |          0.0020 |
|     168 |         168 |       00:01:24 |       99.15% |              |       0.0516 |              |          0.0020 |
|     169 |         169 |       00:01:25 |       98.01% |              |       0.0536 |              |          0.0020 |
|     170 |         170 |       00:01:25 |       99.57% |       95.45% |       0.0445 |       0.2049 |          0.0020 |
|     171 |         171 |       00:01:26 |       98.86% |              |       0.0453 |              |          0.0020 |
|     172 |         172 |       00:01:26 |       99.15% |              |       0.0432 |              |          0.0020 |
|     173 |         173 |       00:01:27 |       98.86% |              |       0.0498 |              |          0.0020 |
|     174 |         174 |       00:01:27 |       99.15% |              |       0.0465 |              |          0.0020 |
|     175 |         175 |       00:01:28 |       98.86% |              |       0.0521 |              |          0.0020 |
|     176 |         176 |       00:01:28 |       99.01% |              |       0.0411 |              |          0.0020 |
|     177 |         177 |       00:01:29 |       99.15% |              |       0.0423 |              |          0.0020 |
|     178 |         178 |       00:01:29 |       99.15% |              |       0.0425 |              |          0.0020 |
|     179 |         179 |       00:01:30 |       99.43% |              |       0.0394 |              |          0.0020 |
|     180 |         180 |       00:01:30 |       99.15% |       96.02% |       0.0429 |       0.2176 |          0.0020 |
|     181 |         181 |       00:01:31 |       99.01% |              |       0.0489 |              |          0.0020 |
|     182 |         182 |       00:01:31 |       98.58% |              |       0.0468 |              |          0.0020 |
|     183 |         183 |       00:01:32 |       99.43% |              |       0.0407 |              |          0.0020 |
|     184 |         184 |       00:01:32 |       98.72% |              |       0.0520 |              |          0.0020 |
|     185 |         185 |       00:01:33 |       99.43% |              |       0.0412 |              |          0.0020 |
|     186 |         186 |       00:01:33 |       99.15% |              |       0.0421 |              |          0.0020 |
|     187 |         187 |       00:01:34 |       98.86% |              |       0.0466 |              |          0.0020 |
|     188 |         188 |       00:01:34 |       98.86% |              |       0.0396 |              |          0.0020 |
|     189 |         189 |       00:01:35 |       99.29% |              |       0.0417 |              |          0.0020 |
|     190 |         190 |       00:01:35 |       99.86% |       96.02% |       0.0403 |       0.2211 |          0.0020 |
|     191 |         191 |       00:01:36 |       99.01% |              |       0.0408 |              |          0.0020 |
|     192 |         192 |       00:01:36 |       98.86% |              |       0.0463 |              |          0.0020 |
|     193 |         193 |       00:01:37 |       99.57% |              |       0.0396 |              |          0.0020 |
|     194 |         194 |       00:01:37 |       99.15% |              |       0.0434 |              |          0.0020 |
|     195 |         195 |       00:01:38 |       99.57% |              |       0.0386 |              |          0.0020 |
|     196 |         196 |       00:01:38 |       98.86% |              |       0.0443 |              |          0.0020 |
|     197 |         197 |       00:01:39 |       99.29% |              |       0.0379 |              |          0.0020 |
|     198 |         198 |       00:01:39 |       98.30% |              |       0.0510 |              |          0.0020 |
|     199 |         199 |       00:01:39 |       99.15% |              |       0.0379 |              |          0.0020 |
|     200 |         200 |       00:01:40 |       99.01% |       94.32% |       0.0471 |       0.2297 |          0.0020 |
|     201 |         201 |       00:01:40 |       99.15% |              |       0.0387 |              |          0.0020 |
|     202 |         202 |       00:01:41 |       99.01% |              |       0.0399 |              |          0.0020 |
|     203 |         203 |       00:01:41 |       99.01% |              |       0.0372 |              |          0.0020 |
|     204 |         204 |       00:01:42 |       98.30% |              |       0.0485 |              |          0.0020 |
|     205 |         205 |       00:01:42 |       99.29% |              |       0.0373 |              |          0.0020 |
|     206 |         206 |       00:01:43 |       99.29% |              |       0.0387 |              |          0.0020 |
|     207 |         207 |       00:01:43 |       98.86% |              |       0.0425 |              |          0.0020 |
|     208 |         208 |       00:01:44 |       99.15% |              |       0.0363 |              |          0.0020 |
|     209 |         209 |       00:01:44 |       98.44% |              |       0.0496 |              |          0.0020 |
|     210 |         210 |       00:01:45 |       98.72% |       95.45% |       0.0406 |       0.2360 |          0.0020 |
|     211 |         211 |       00:01:45 |       99.29% |              |       0.0378 |              |          0.0020 |
|     212 |         212 |       00:01:46 |       99.15% |              |       0.0385 |              |          0.0020 |
|     213 |         213 |       00:01:46 |       99.29% |              |       0.0413 |              |          0.0020 |
|     214 |         214 |       00:01:47 |       99.15% |              |       0.0402 |              |          0.0020 |
|     215 |         215 |       00:01:47 |       99.29% |              |       0.0385 |              |          0.0020 |
|     216 |         216 |       00:01:48 |       99.29% |              |       0.0336 |              |          0.0020 |
|     217 |         217 |       00:01:48 |       99.43% |              |       0.0353 |              |          0.0020 |
|     218 |         218 |       00:01:49 |       99.29% |              |       0.0333 |              |          0.0020 |
|     219 |         219 |       00:01:49 |       99.43% |              |       0.0345 |              |          0.0020 |
|     220 |         220 |       00:01:50 |       99.43% |       97.73% |       0.0305 |       0.1543 |          0.0020 |
|     221 |         221 |       00:01:50 |       98.72% |              |       0.0397 |              |          0.0020 |
|     222 |         222 |       00:01:51 |       99.43% |              |       0.0312 |              |          0.0020 |
|     223 |         223 |       00:01:51 |       99.29% |              |       0.0332 |              |          0.0020 |
|     224 |         224 |       00:01:52 |       99.15% |              |       0.0338 |              |          0.0020 |
|     225 |         225 |       00:01:52 |       99.15% |              |       0.0365 |              |          0.0020 |
|     226 |         226 |       00:01:53 |       99.43% |              |       0.0315 |              |          0.0020 |
|     227 |         227 |       00:01:53 |       99.57% |              |       0.0374 |              |          0.0020 |
|     228 |         228 |       00:01:54 |       99.29% |              |       0.0284 |              |          0.0020 |
|     229 |         229 |       00:01:54 |       99.72% |              |       0.0326 |              |          0.0020 |
|     230 |         230 |       00:01:55 |       99.29% |       95.45% |       0.0334 |       0.2337 |          0.0020 |
|     231 |         231 |       00:01:55 |       98.86% |              |       0.0347 |              |          0.0020 |
|     232 |         232 |       00:01:56 |       99.29% |              |       0.0325 |              |          0.0020 |
|     233 |         233 |       00:01:56 |       99.29% |              |       0.0335 |              |          0.0020 |
|     234 |         234 |       00:01:57 |       99.15% |              |       0.0298 |              |          0.0020 |
|     235 |         235 |       00:01:57 |       99.43% |              |       0.0273 |              |          0.0020 |
|     236 |         236 |       00:01:58 |       99.57% |              |       0.0321 |              |          0.0020 |
|     237 |         237 |       00:01:58 |       99.01% |              |       0.0339 |              |          0.0020 |
|     238 |         238 |       00:01:59 |       99.72% |              |       0.0272 |              |          0.0020 |
|     239 |         239 |       00:01:59 |       99.15% |              |       0.0334 |              |          0.0020 |
|     240 |         240 |       00:02:00 |       99.29% |       95.45% |       0.0351 |       0.1845 |          0.0020 |
|     241 |         241 |       00:02:00 |       99.15% |              |       0.0355 |              |          0.0020 |
|     242 |         242 |       00:02:01 |       99.57% |              |       0.0280 |              |          0.0020 |
|     243 |         243 |       00:02:01 |       99.29% |              |       0.0327 |              |          0.0020 |
|     244 |         244 |       00:02:02 |       99.57% |              |       0.0275 |              |          0.0020 |
|     245 |         245 |       00:02:02 |       99.29% |              |       0.0311 |              |          0.0020 |
|     246 |         246 |       00:02:03 |       98.58% |              |       0.0391 |              |          0.0020 |
|     247 |         247 |       00:02:03 |       99.43% |              |       0.0283 |              |          0.0020 |
|     248 |         248 |       00:02:04 |       99.43% |              |       0.0315 |              |          0.0020 |
|     249 |         249 |       00:02:04 |       99.43% |              |       0.0303 |              |          0.0020 |
|     250 |         250 |       00:02:05 |       99.57% |       94.89% |       0.0250 |       0.2054 |          0.0020 |
|     251 |         251 |       00:02:05 |       99.57% |              |       0.0240 |              |          0.0020 |
|     252 |         252 |       00:02:06 |       99.43% |              |       0.0254 |              |          0.0020 |
|     253 |         253 |       00:02:06 |       99.29% |              |       0.0281 |              |          0.0020 |
|     254 |         254 |       00:02:07 |       99.86% |              |       0.0261 |              |          0.0020 |
|     255 |         255 |       00:02:07 |       99.57% |              |       0.0308 |              |          0.0020 |
|     256 |         256 |       00:02:08 |       99.15% |              |       0.0287 |              |          0.0020 |
|     257 |         257 |       00:02:08 |       99.15% |              |       0.0360 |              |          0.0020 |
|     258 |         258 |       00:02:09 |       99.43% |              |       0.0290 |              |          0.0020 |
|     259 |         259 |       00:02:09 |       99.15% |              |       0.0301 |              |          0.0020 |
|     260 |         260 |       00:02:10 |       99.15% |       95.45% |       0.0374 |       0.1626 |          0.0020 |
|     261 |         261 |       00:02:10 |       99.57% |              |       0.0260 |              |          0.0020 |
|     262 |         262 |       00:02:11 |       99.57% |              |       0.0216 |              |          0.0020 |
|     263 |         263 |       00:02:11 |       99.01% |              |       0.0321 |              |          0.0020 |
|     264 |         264 |       00:02:11 |       99.72% |              |       0.0237 |              |          0.0020 |
|     265 |         265 |       00:02:12 |       98.86% |              |       0.0275 |              |          0.0020 |
|     266 |         266 |       00:02:12 |       99.43% |              |       0.0227 |              |          0.0020 |
|     267 |         267 |       00:02:13 |       98.86% |              |       0.0338 |              |          0.0020 |
|     268 |         268 |       00:02:13 |       99.01% |              |       0.0303 |              |          0.0020 |
|     269 |         269 |       00:02:14 |       99.57% |              |       0.0230 |              |          0.0020 |
|     270 |         270 |       00:02:14 |       99.15% |       96.02% |       0.0279 |       0.1844 |          0.0020 |
|======================================================================================================================|
